Host,log(mass),err_upper,err_lower,log(tau),err_upper,err_lower
NGC 2768,11.141,0.0004,-0.0004,-0.1398,0.0007,-0.0007
NGC 5559 ,10.384,0.0003,-0.0003,-0.8821,0.0007,-0.0007
NGC 2207,10.9193,0.0013,-0.0021,-0.4041,0.0006,-0.0005
UGC 6934 ,10.2437,0.1079,-0.1056,0.1091,0.4351,-0.3104
NGC 5714,10.299,0.0004,-0.0004,0.6266,0.0006,-0.0005
NGC 1032 ,10.9244,0.0017,-0.0017,-0.5007,0.0045,-0.0044
NGC 4589 ,10.9768,0.0002,-0.0002,-0.3871,0.0004,-0.0004
NGC 1129,10.8301,0.0034,-0.0033,-0.0792,0.0417,-0.0534
CGCG 170-011,10.4002,0.0081,-0.0087,-0.8378,0.0911,-0.1273
NGC 2272-(S0) ,10.5987,0.0008,-0.0008,-0.4938,0.0018,-0.0017
MCG-01-06-070 ,10.3998,0.0004,-0.0004,-0.5208,0.0007,-0.0007
NGC 4321 ,10.9365,0.0006,-0.0008,-0.9121,0.0005,-0.0006
2MASXJ22465295+2138221 ,9.4605,0.0674,-0.0741,0.7786,0.1498,-0.2105
NGC 2639 ,11.0333,0.0011,-0.0011,-0.4753,0.0015,-0.0015
IC 3956,10.4521,0.0092,-0.0079,-0.9782,0.0276,-0.0159
NGC 7265 ,9.9991,0.0465,-0.0424,-0.8008,0.0756,-0.0911
SDSSJ130109.43+280159.1/WISEA,9.4916,0.1161,-0.0815,-0.5023,0.4689,-0.316
NGC3430 ,9.9804,0.0001,-0.0001,-0.7714,0.0001,-0.0001
2MASXJ00505254+2722432 ,8.3511,0.1264,-0.0929,0.52,0.3048,-0.2895